$,'',CC,CD,DT,FW,IN,JJ,MD,NN,NNP,NNS,PDT,PRP,RB,RP,SYM,VB,VBD,VBG,VBP,VBZ,WRB,Nat
7.89E-06,,4.73E-05,0.000284073,0.002627675,6.31E-05,0.000560255,0.003779749,0.000102582,0.021715801,0.004923932,3.16E-05,4.73E-05,8.68E-05,7.10E-05,,,0.000315637,0.000465564,7.89E-06,0.003132694,0.001649201,7.89E-06,TRUE
,2.15E-05,0.000160986,0.00090152,0.006750665,0.000236112,0.0014918,0.009562548,0.00018245,0.054799519,0.013233021,0.000107324,0.000203915,0.000139521,0.000139521,,,0.000397098,0.001116167,,0.008038551,0.004765176,,TRUE
,,,0.000740534,0.000643943,1.07E-05,6.44E-05,0.000933717,2.15E-05,0.004443204,0.001438139,3.22E-05,,9.66E-05,1.07E-05,,,4.29E-05,0.000160986,,0.000536619,0.000418563,,TRUE
,,,0.000375633,0.000579548,,4.29E-05,0.000708337,4.29E-05,0.003895853,0.001287885,2.15E-05,,4.29E-05,1.07E-05,,,7.51E-05,0.000171718,,0.000461492,0.000289774,,TRUE
1.07E-05,,0.000171718,0.001159097,0.007212158,0.000193183,0.001148364,0.009476689,0.000214648,0.05408045,0.013909161,0.000150253,0.000193183,0.000257577,0.000203915,,,0.00040783,0.001094702,,0.00740534,0.004947626,,TRUE
,1.07E-05,0.000193183,0.000665407,0.007609256,0.000203915,0.00130935,0.011129475,0.000246845,0.059403709,0.013705246,0.000150253,0.000107324,0.000203915,0.000279042,,,0.000579548,0.001588392,,0.007877565,0.005226668,,TRUE
1.07E-05,4.29E-05,0.000354168,0.001470336,0.015358032,0.000536619,0.003198248,0.022140895,0.000429295,0.116510689,0.033967975,0.000246845,0.000375633,0.002103546,0.000289774,,,0.000761999,0.002962136,,0.017644029,0.010861166,,TRUE
5.37E-05,3.22E-05,0.000397098,0.003649008,0.011902207,0.000150253,0.002060616,0.018094788,0.000321971,0.091203743,0.024169314,0.000150253,0.000171718,0.000558084,0.000440027,,,0.000740534,0.00243625,,0.012653473,0.008360522,,TRUE
,2.15E-05,0.00018245,0.000611746,0.007684382,0.000203915,0.001234223,0.0104748,0.000279042,0.059521765,0.014252597,0.00018245,0.00018245,0.000171718,0.00022538,,,0.000515154,0.001191294,,0.008242466,0.005645231,,TRUE
5.11E-05,,0.00010226,0.003067798,0.007362716,0.00025565,0.001278249,0.008794355,0.00020452,0.053021781,0.013753963,0.00020452,0.00030678,0.00066469,0.00010226,5.11E-05,,0.00035791,0.001482769,,0.006340117,0.004806217,,TRUE
